policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,177,413,9.1,0.0,optimal,0,0,9.578685937449336,9.715707548999944
gcnn:baseline,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,185,440,9.59,0.0,optimal,0,0,10.087832897901535,10.24291283499997
gcnn:baseline,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,175,430,9.39,0.0,optimal,0,0,9.910540253855288,10.049114713999984
gcnn:baseline,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,212,494,10.08,0.0,optimal,0,0,10.664890931919217,10.828259336999963
gcnn:baseline,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,178,448,9.13,0.0,optimal,0,0,9.484198563732207,9.614760812999975
gcnn:mean_convolution,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,179,415,9.14,0.0,optimal,0,0,9.662320686504245,9.807484253999974
gcnn:mean_convolution,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,182,425,9.41,0.0,optimal,0,0,9.960542512126267,10.112738596999975
gcnn:mean_convolution,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,195,445,9.86,0.0,optimal,0,0,10.325074973516166,10.491470789000005
gcnn:mean_convolution,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,180,417,9.58,0.0,optimal,0,0,10.143992885947227,10.298346971
gcnn:mean_convolution,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,168,385,8.92,0.0,optimal,0,0,9.33002933114767,9.465721695999946
gcnn:no_prenorm,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,177,411,9.06,0.0,optimal,0,0,9.547531129792333,9.681460911000045
gcnn:no_prenorm,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,210,465,9.83,0.0,optimal,0,0,10.372088383883238,10.53994305699996
gcnn:no_prenorm,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,185,453,9.55,0.0,optimal,0,0,9.998286021873355,10.140984763000006
gcnn:no_prenorm,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,173,394,9.21,0.0,optimal,0,0,9.879087639041245,10.010701451000045
gcnn:no_prenorm,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_2/instance_2.lp,173,427,8.93,0.0,optimal,0,0,9.3460981734097,9.475402054000028
internal:relpscost,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,77,222,10.2,0.0,optimal,76,0,10.804180458188057,10.811414906999971
internal:relpscost,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,59,194,11.36,0.0,optimal,59,0,11.995688812807202,12.003650512000036
internal:relpscost,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,45,172,10.08,0.0,optimal,63,0,10.674771174788475,10.68165606599996
internal:relpscost,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,57,217,11.59,0.0,optimal,80,0,12.173564346507192,12.181110046999947
internal:relpscost,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,63,216,10.29,0.0,optimal,84,0,10.923393352888525,10.930087998999966
ml-competitor:extratrees_gcnn_agg,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,165,321,9.42,0.0,optimal,0,0,10.106051195412874,10.112362727000004
ml-competitor:extratrees_gcnn_agg,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,177,378,10.25,0.0,optimal,0,0,10.991014608182013,10.99760797700003
ml-competitor:extratrees_gcnn_agg,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,173,336,9.6,0.0,optimal,0,0,10.36179556697607,10.368358434000015
ml-competitor:extratrees_gcnn_agg,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,177,389,10.24,0.0,optimal,0,0,10.910744262859225,10.91767151800002
ml-competitor:extratrees_gcnn_agg,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,165,334,9.59,0.0,optimal,0,0,10.41049886867404,10.416838025999937
ml-competitor:lambdamart_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,151,323,7.48,0.0,optimal,0,0,7.879310855641961,7.884026855000002
ml-competitor:lambdamart_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,167,338,8.0,0.0,optimal,0,0,8.537447120063007,8.542791647000058
ml-competitor:lambdamart_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,163,310,7.69,0.0,optimal,0,0,8.069312228821218,8.074254515999996
ml-competitor:lambdamart_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,165,330,8.17,0.0,optimal,0,0,8.541418552398682,8.546757763999949
ml-competitor:lambdamart_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,163,332,7.75,0.0,optimal,0,0,8.201062523759902,8.206349744999898
ml-competitor:svmrank_khalil,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,159,336,8.37,0.0,optimal,0,0,8.759058544412255,8.764765348999958
ml-competitor:svmrank_khalil,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,153,306,8.73,0.0,optimal,0,0,9.174624753184617,9.180378539999992
ml-competitor:svmrank_khalil,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,151,298,8.39,0.0,optimal,0,0,8.819406311027706,8.824800363999998
ml-competitor:svmrank_khalil,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,161,329,8.89,0.0,optimal,0,0,9.268733191303909,9.27430936199994
ml-competitor:svmrank_khalil,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,161,352,8.6,0.0,optimal,0,0,9.049271176569164,9.054609028999948
gcnn:baseline,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,123,251,7.1,0.0,optimal,0,0,7.320111935958266,7.409916749999979
gcnn:baseline,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,129,283,7.67,0.0,optimal,0,0,8.007308463566005,8.102716098999963
gcnn:baseline,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,125,306,7.43,0.0,optimal,0,0,7.753979094326496,7.846271693000062
gcnn:baseline,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,133,333,7.98,0.0,optimal,0,0,8.265259325504303,8.365835478000008
gcnn:baseline,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,133,292,7.49,0.0,optimal,0,0,7.832673244178295,7.9322331600001235
gcnn:mean_convolution,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,139,292,7.3,0.0,optimal,0,0,7.551823209039867,7.661282266999933
gcnn:mean_convolution,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,125,276,7.75,0.0,optimal,0,0,8.081018812023103,8.184842383999921
gcnn:mean_convolution,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,125,249,7.23,0.0,optimal,0,0,7.507618293166161,7.607980460000135
gcnn:mean_convolution,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,129,303,7.81,0.0,optimal,0,0,8.061869973316789,8.167514598000025
gcnn:mean_convolution,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,133,321,7.57,0.0,optimal,0,0,7.949255475774407,8.057278961000065
gcnn:no_prenorm,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,135,298,7.24,0.0,optimal,0,0,7.515171978622675,7.616726052000104
gcnn:no_prenorm,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,127,292,7.65,0.0,optimal,0,0,8.057578238658607,8.152669932000208
gcnn:no_prenorm,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,137,317,7.49,0.0,optimal,0,0,7.810789734125137,7.912354733000029
gcnn:no_prenorm,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,129,294,7.83,0.0,optimal,0,0,8.137381369248033,8.236248471999943
gcnn:no_prenorm,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_3/instance_3.lp,135,268,7.51,0.0,optimal,0,0,7.822332941927016,7.922581466000111
internal:relpscost,0,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_4/instance_4.lp,269,483,13.98,0.0,optimal,146,0,14.902542046271265,14.913226405999922
internal:relpscost,1,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_4/instance_4.lp,161,381,15.93,0.0,optimal,154,0,16.925350610166788,16.936313923999933
internal:relpscost,2,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_4/instance_4.lp,221,445,15.92,0.0,optimal,156,0,16.999238085001707,17.00993677700012
internal:relpscost,3,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_4/instance_4.lp,247,460,14.83,0.0,optimal,144,0,15.74842974729836,15.758408594000002
internal:relpscost,4,small,../data/instances/setcover/test_500r_1000c_0.05d_100mc_10se/instance_4/instance_4.lp,293,545,15.4,0.0,optimal,182,0,16.53190167527646,16.542519286000015
