policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_10.lp,601,910,87.18,0.0,optimal,0,0,88.45243307948112,89.76749674799976
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_10.lp,325,486,42.3,0.0,optimal,0,0,42.4344201926142,43.51894773799995
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_10.lp,329,497,45.92,0.0,optimal,0,0,46.295925660058856,47.38812090300007
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_10.lp,289,477,41.29,0.0,optimal,0,0,41.66101457551122,42.722329811000236
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_11.lp,1,113,13.88,0.0,optimal,3,1,14.276881942525506,14.286494718000085
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_11.lp,1,118,11.71,0.0,optimal,4,0,12.069282170385122,12.077134504000242
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_11.lp,1,99,11.4,0.0,optimal,4,0,11.77202320471406,11.779504456999803
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_11.lp,1,96,12.39,0.0,optimal,2,1,12.768605651333928,12.776695240000208
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_11.lp,1,105,11.14,0.0,optimal,2,0,11.473573736846447,11.480858251999962
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_11.lp,13,112,13.9,0.0,optimal,0,0,13.467491012066603,14.297473706999881
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_11.lp,7,111,11.62,0.0,optimal,0,0,11.127783009782434,11.951650083000004
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_11.lp,9,98,11.74,0.0,optimal,0,0,11.289098052307963,12.1156283600003
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_11.lp,11,99,12.45,0.0,optimal,0,0,11.995343210175633,12.823167938000097
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_11.lp,11,109,11.82,0.0,optimal,0,0,11.39254423417151,12.219431563999933
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_12.lp,2501,3719,360.65,0.0,optimal,723,0,369.09845681488514,369.32610063599986
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_12.lp,2698,4069,431.01,0.0,optimal,737,0,440.42128905653954,440.6967665830002
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_12.lp,2882,4101,389.51,0.0,optimal,746,0,398.775741584599,399.0283312629999
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_12.lp,2424,3545,380.19,0.0,optimal,670,0,388.6916718259454,388.9351841779999
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_12.lp,1934,2759,309.27,0.0,optimal,406,0,316.4839189518243,316.6812879170002
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_12.lp,3133,3711,324.45,0.0,optimal,0,0,329.5165103394538,332.9401113870008
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_12.lp,3274,3785,338.19,0.0,optimal,0,0,342.79415316693485,346.28599054499955
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_12.lp,4107,4714,376.23,0.0,optimal,0,0,381.59557511657476,385.78387799600023
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_12.lp,4277,4825,431.56,0.0,optimal,0,0,437.2909962423146,441.6203246160003
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_12.lp,2862,3425,355.7,0.0,optimal,0,0,360.9139459412545,364.2460321210001
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_13.lp,396,827,63.36,0.0,optimal,260,0,65.11185123585165,65.1561145679998
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_13.lp,417,759,61.75,0.0,optimal,163,0,63.299524487927556,63.34061859800022
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_13.lp,245,533,42.94,0.0,optimal,150,0,44.05344328843057,44.075238135999825
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_13.lp,285,523,40.37,0.0,optimal,133,0,41.46729649603367,41.487851584000055
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_13.lp,201,468,39.83,0.0,optimal,126,0,40.863327445462346,40.883301044999826
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_13.lp,447,650,34.1,0.0,optimal,0,0,34.26789040118456,35.43414107999979
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_13.lp,571,890,56.08,0.0,optimal,0,0,56.57129941880703,57.95575157799976
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_13.lp,369,575,33.15,0.0,optimal,0,0,33.22956510446966,34.33658643099989
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_13.lp,407,605,33.61,0.0,optimal,0,0,33.71335084550083,34.84775502699995
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_13.lp,321,514,30.25,0.0,optimal,0,0,30.30941530317068,31.379363600000033
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_14.lp,55,210,41.01,0.0,optimal,37,0,42.05175590701401,42.07196651100003
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_14.lp,53,261,48.11,0.0,optimal,103,0,49.27378443814814,49.29455239500021
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_14.lp,61,211,44.16,0.0,optimal,38,0,45.295384934172034,45.31511198299995
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_14.lp,39,217,34.67,0.0,optimal,47,0,35.63507328927517,35.651433252999595
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_14.lp,39,194,34.85,0.0,optimal,45,0,35.73487119935453,35.750446644000476
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_14.lp,95,216,24.07,0.0,optimal,0,0,23.997233923524618,24.895231438999872
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_14.lp,141,298,32.74,0.0,optimal,0,0,32.90294359065592,33.84487903599984
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_14.lp,119,262,29.32,0.0,optimal,0,0,29.29568033851683,30.21873141800006
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_14.lp,99,301,27.25,0.0,optimal,0,0,27.09656150266528,27.998335451000457
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_14.lp,89,228,27.09,0.0,optimal,0,0,27.311181895434856,28.206826204999743
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_15.lp,599,1100,88.14,0.0,optimal,264,0,90.97526965662837,91.0210257689996
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1155,1695,163.6,0.0,optimal,135,0,168.2626929525286,168.34375714500038
internal:relpscost,60,small,../data/instances/facilities/test_100_100_5/instance_15.lp,701,1185,92.82,0.0,optimal,260,0,95.47900609858334,95.52719238200007
internal:relpscost,80,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1093,1791,112.78,0.0,optimal,311,0,116.18263939209282,116.24073958499866
internal:relpscost,100,small,../data/instances/facilities/test_100_100_5/instance_15.lp,559,1009,89.19,0.0,optimal,235,0,91.86746743321419,91.91193557500083
gcnn:baseline,20,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1337,1686,100.15,0.0,optimal,0,0,101.53095545992255,103.41555775099914
gcnn:baseline,40,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1353,1749,141.73,0.0,optimal,0,0,143.8767496831715,145.86168017400087
gcnn:baseline,60,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1343,1720,107.7,0.0,optimal,0,0,109.21609729528427,111.12555175600028
gcnn:baseline,80,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1373,1761,100.64,0.0,optimal,0,0,102.10123525746167,104.0310074450008
gcnn:baseline,100,small,../data/instances/facilities/test_100_100_5/instance_15.lp,1369,1705,104.27,0.0,optimal,0,0,105.61278523877263,107.5649512050004
internal:relpscost,20,small,../data/instances/facilities/test_100_100_5/instance_16.lp,55,198,28.81,0.0,optimal,84,0,29.72394517622888,29.74483750500076
internal:relpscost,40,small,../data/instances/facilities/test_100_100_5/instance_16.lp,75,243,34.53,0.0,optimal,81,0,35.43592452816665,35.45893205399989
