policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_17.lp,193,330,23.23,0.0,0.001637004511895993,0.0014809308127879458,0,optimal,0,0,23.08512209355831,23.987600489001125
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_17.lp,167,296,24.29,0.0,0.0016575500442167546,0.0015056921539079577,0,optimal,0,0,24.087428282946348,24.975318556000275
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_17.lp,181,323,23.96,0.0,0.0016072756618541247,0.0015056921539079577,0,optimal,0,0,23.834025779739022,24.75683518400001
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_17.lp,175,301,22.05,0.0,0.0019343370377137368,0.0015158270816495205,0,optimal,0,0,21.89273921959102,22.834949557000073
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_18.lp,1162,1419,72.39,0.0,0.0068839039380772194,0.006711360754754375,0.006385460226763719,optimal,0,0,73.2476398255676,74.77963943500072
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_18.lp,358,544,39.45,0.0,0.0032955111219982866,0.0032955111219982866,0.002047304014914721,optimal,0,0,40.10499431937933,41.09509156399872
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_18.lp,1315,1745,77.84,0.0,0.006661447488073664,0.005450147056338624,0.004984895205728382,optimal,0,0,78.92051775753498,80.76028883199979
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_18.lp,680,939,58.45,0.0,0.004454132103110136,0.004385890637008784,0.004385890637008784,optimal,0,0,59.105099415406585,60.50608009299867
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_18.lp,607,811,48.68,0.0,0.004149228315188027,0.004149228315188027,0.0032548831668720492,optimal,0,0,49.272444581612945,50.5745768400011
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_19.lp,15,74,10.64,0.0,0,0,0,optimal,0,0,10.188257237896323,10.999860246000026
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_19.lp,19,126,12.44,0.0,0,0,0,optimal,0,0,11.99455776438117,12.809650118999343
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_19.lp,19,127,12.8,0.0,0,0,0,optimal,0,0,12.425406496971846,13.242393837001146
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_19.lp,19,70,10.79,0.0,0,0,0,optimal,0,0,10.321069756522775,11.140294311000616
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_19.lp,17,68,11.39,0.0,0,0,0,optimal,0,0,11.012738386169076,11.82929513199997
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_20.lp,849,1191,83.39,0.0,0.0040175317664245475,0.003976594669808875,0.0030679522204162812,optimal,0,0,84.43952785432339,85.97371810999903
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_20.lp,777,1065,73.62,0.0,0.003267879243730576,0.002913731072955028,0.0023345325225637282,optimal,0,0,74.47701112926006,75.92559545900076
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_20.lp,723,1027,69.07,0.0,0.0031543242955445836,0.0026534824608112897,0.0022039388396934093,optimal,0,0,69.77905485220253,71.17638153199914
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_20.lp,727,1038,73.5,0.0,0.00341760865840424,0.003016958097708947,0.0025934026314245566,optimal,0,0,74.36223021149635,75.77138059500066
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_20.lp,656,906,61.76,0.0,0.0039453540734528504,0.0034741189475764617,0.0025340517518619194,optimal,0,0,62.37938713468611,63.72432986899912
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_21.lp,47,193,23.83,0.0,0,0,0,optimal,0,0,23.739618804305792,24.597721309000917
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_21.lp,41,167,18.02,0.0,0,0,0,optimal,0,0,17.76603722758591,18.60658944199895
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_21.lp,52,205,23.21,0.0,0,0,0,optimal,0,0,22.991917880252004,23.853656799999953
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_21.lp,47,190,25.24,0.0,0,0,0,optimal,0,0,25.195224057883024,26.054591333000644
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_21.lp,55,201,21.25,0.0,0,0,0,optimal,0,0,20.963741214945912,21.813656902999355
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_22.lp,106,239,17.18,0.0,0.0008914497211421455,0.00012608675575966454,0,optimal,0,0,16.926858633756638,17.80496645400126
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_22.lp,87,220,17.89,0.0,0.0007800807094110899,0,0,optimal,0,0,17.61492409929633,18.46474825400037
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_22.lp,107,228,16.06,0.0,0.0009374397048039153,0,0,optimal,0,0,15.733417367562652,16.58825464199981
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_22.lp,117,286,17.42,0.0,0.0008914497211421455,0,0,optimal,0,0,17.167573269456625,18.05695912700139
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_22.lp,127,275,17.74,0.0,0.001130114569456409,0.000749125417899268,0,optimal,0,0,17.413221668452024,18.31119231000048
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_23.lp,45,128,16.91,0.0,0,0,0,optimal,0,0,16.5942823253572,17.433201075999023
