policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,321,772,9.23,0.0,optimal,274,0,10.16922940313816,10.172040164000009
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,409,816,9.6,0.0,optimal,225,1,10.59509118180722,10.601956692999977
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,203,658,8.65,0.0,optimal,270,0,9.465270738117397,9.470730021999998
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,329,792,9.6,0.0,optimal,267,0,10.485679982230067,10.491772744000002
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,313,776,9.68,0.0,optimal,266,0,10.722252528183162,10.728272995999987
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,443,798,5.79,0.0,optimal,0,0,6.130257491953671,6.440006103999963
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,428,743,5.7,0.0,optimal,0,0,5.978974505327642,6.277602861000048
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,432,689,5.65,0.0,optimal,0,0,5.931790656410158,6.225339737000013
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,426,691,5.88,0.0,optimal,0,0,6.222944771870971,6.516326738999965
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_6/instance_6.lp,416,876,6.21,0.0,optimal,0,0,6.567072636447847,6.851434912999991
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,449,846,8.89,0.0,optimal,196,1,9.946203973144293,9.95227762799999
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,259,649,8.01,0.0,optimal,199,1,8.804680420085788,8.810322530999997
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,143,476,6.68,0.0,optimal,161,0,7.349819236434996,7.353679280999984
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,161,575,8.26,0.0,optimal,211,1,9.169241294264793,9.174135111999988
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,229,566,7.36,0.0,optimal,157,1,8.133663631044328,8.136944451999966
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,275,684,5.36,0.0,optimal,0,0,5.8578860852867365,6.042437774999996
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,283,624,5.0,0.0,optimal,0,0,5.3334165289998055,5.524761923999961
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,301,885,5.47,0.0,optimal,0,0,5.841849149204791,6.065923311000006
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,255,627,5.03,0.0,optimal,0,0,5.433730849996209,5.6097215120000214
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_7/instance_7.lp,282,688,5.1,0.0,optimal,0,0,5.4810050297528505,5.675264673000015
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,62,336,6.44,0.0,optimal,104,0,6.9628829676657915,6.96763381400001
